Name;IATA;ICAO;Callsign;Country
Huessler Air Service;;HUS;HUESSLER;United States
Hughes Aircraft Company;;GMH;HUGHES EXPRESS;United States
Hummingbird Helicopter Service;;WHR;WHIRLEYBIRD;United States
Hunair Hungarian Airlines;;HUV;SILVER EAGLE;Hungary
Hungarian Air Force;;HUF;HUNGARIAN AIRFORCE;Hungary
Hyack Air;;HYA;HYACK;Canada
Hydro Air Flight Operations;;HYC;HYDRO CARGO;South Africa
Hydro-Québec;;HYD;HYDRO;Canada
IBC Airways;II;CSQ;CHASQUI;United States
Iberia Airlines;IB;IBE;IBERIA;Spain
Iberia Express;I2;IBS;;Spain
Ibertour Servicios Aereos;;IBR;IBERTOUR;Spain
Ibertrans Aerea;;IBT;IBERTRANS;Spain
Iberworld;TY;IWD;;Spain
Ibex Airlines;FW;IBX;IBEX;Japan
Ibicenca Air;;IBC;IBICENCA;Spain
Ibk-Petra;;AKI; ;Sudan
IBL Aviation;;IBL;CATOVAIR;Mauritius
IBM Euroflight Operations;;BBL;BLUE;Switzerland
ICAO;;YYY;;
Icar Air;;RAC;TUZLA AIR;Bosnia and Herzegovina
ICAR Airlines;C3;;;Ukraine
Icare Franche Compte;;FRC;FRANCHE COMPTE;France
Icaro;;ICA;ICARFLY;Italy
Icaro;;ICD;ICARO;Ecuador
Icarus;;IUS;ICARUS;Italy
ICC Canada;;CIC;AIR TRADER;Canada
Icebird Airline;;ICB;ICEBIRD;Iceland
Icejet;;ICJ;ICEJET;Iceland
Icelandair;FI;ICE;ICEAIR;Iceland
Icelandic Coast Guard;;ICG;ICELAND COAST;Iceland
IDG Technology Air;;IDG;INDIGO;Czech Republic
IFL Group;;IFL;EIFEL;United States
I-Fly;H5;RSY;RUSSIAN SKY;Russia
II Lione Alato Arl;;RDE;FLIGHT RED;United Kingdom
IJM International Jet Management;;IJM;JET MANAGEMENT;Austria
Ikaros DK;;IKR;IKAROS;Denmark
IKI International Airlines;;IKK;IKIAIR;Japan
IKON FTO;;IKN;IKON;Germany
Il Ciocco International Travel Service;;CIO;CIOCCO;Italy
Il-Avia;;ILV;ILAVIA;Russia
Ildefonso Redriguez;;IDL;ILDEFONSO;Mexico
Iliamna Air Taxi;;IAR;ILIAMNA AIR;United States
Illinois Airways;IL;ILW;;United States
Ilpo Aruba Cargo;;ILP;;Aruba
Ilyich-Avia;;ILL;ILYICHAVIA;Ukraine
Imaer;;IMR;IMAER;Portugal
Imair Airlines;IK;ITX;IMPROTEX;Azerbaijan
IMP Aviation Services;;BLU;BLUENOSE;Canada
IMP Group Aviation Services;;XGG;;Canada
Imperial Airways;;PNX;PHOENIX;United States
Imtrec Aviation;;IMT;IMTREC;Cambodia
INAVIA Internacional;Z5;IIR;;Argentina
Independence Air;DH;IDE;INDEPENDENCE AIR;United States
Independent Air Freighters;;IDP;INDEPENDENT;Australia
India International Airways;;IIL;INDIA INTER;India
Indian Air Force;;IFC;INDIAN AIRFORCE;India
Indian Airlines;IC;IAC;INDAIR;India
Indicator Company;;IDR;INDICATOR;Hungary
Indigo;I9;IBU;INDIGO BLUE;United States
IndiGo Airlines;6E;IGO;IFLY;India
Indochina Airlines;;AXC;Airspup;Vietnam
Indonesa Air Aisa X;;IDX;Red Phoenix;Indonesia
Indonesia Air Transport;;IDA;INTRA;Indonesia
Indonesia AirAsia;QZ;AWQ;WAGON AIR;Indonesia
Indonesia Sky;I5;IDS;;Indonesia
Indonesian Airlines;IO;IAA;INDO LINES;Indonesia
Industri Pesawat Terbang Nusantara;;IPN;NUSANTARA;Indonesia
Industrias Titan;;ITN;TITANLUX;Spain
Indya Airline Group;G1;IG1;Indya1;India
INFINI Travel Information;1F;;;Japan
Infinit Air;;FFI;INFINIT;Spain
Inflite The Jet Centre;;INS;;United Kingdom
Innotech Aviation;;IVA;INNOTECH;Canada
Insel Air (7I/INC) (Priv);7I;\N;;Netherlands Antilles
Insel Air International;;INC;INSELAIR;Netherlands Antilles
Instituto Cartografico de Cataluna;;ICC;CARTO;Spain
Intair;;INT;INTAIRCO;Canada
Intal Avia;;INL;INTAL AVIA;Kyrgyzstan
Intavia Limited;;FFL;;United Kingdom
InteliJet Airways;IJ;IJT;INTELIJET;Colombia
Intensive Air;;XRA;INTENSIVE;South Africa
Inter Air;;ITW;INTER WINGS;Bulgaria
Inter European Airways;;IEA;;United Kingdom
Inter Express;;INX;INTER-EURO;Turkey
Inter Islands Airlines;H4;IIN;;Cape Verde
Inter RCA;;CAR;QUEBEC ROMEO;Central African Republic
Inter Tropic Airlines;;NTT;INTER-TROPIC;Sierra Leone
Inter-Air;;ITA;CAFEX;United States
Interair South Africa;D6;ILN;INLINE;South Africa
Interaire;;NTE;INTERMEX;Mexico
Interavia Airlines;ZA;SUW;ASTAIR;Russia
Interaviatrans;;IVT;INTERAVIA;Ukraine
Inter-Canadian;;ICN;INTER-CANADIAN;Canada
Intercontinental de Aviaci;RS;ICT;CONTAVIA;Colombia
Intercopters;;ICP;CHOPER;Spain
Interflight;;IFT;INTERFLIGHT;United Kingdom
Interflight (Learjet);;IJT;;United Kingdom
Interfly;;RFL;INFLY;Italy
Interfreight Forwarding;;IFF;INTERFREIGHT;Sudan
Interguide Air;;IGN;DIVINE AIR;Nigeria
Inter-Island Air;;UGL;UGLY VAN;United States
Interisland Airlines;;ISN;TRI-BIRD;Philippines
Interisland Airways Limited;;IWY;ISLANDWAYS;Turks and Caicos Islands
Interjet;;MTF;INTERJET;Italy
Interjet (ABC Aerolineas);4O;\N;INTERJET;Mexico
Interjet Helicopters;;IHE;INTERCOPTER;Greece
Interlink Airlines;ID;ITK;INTERLINK;South Africa
Inter-Mountain Airways;;IMA;INTER-MOUNTAIN;United States
International Air Cargo Corporation;;IAK;AIR CARGO EGYPT;Egypt
International Air Carrier Association;;ITC;;Belgium
International Air Corporation;;EXX;EXPRESS INTERNATIONAL;United States
International Air Service;;IAS;STARFLEET;United States
International Air Services;;IAX;INTERAIR SERVICES;Liberia
International AirLink;I4;\N;;Jamaica
International Business Air;6I;IBZ;INTERBIZ;Sweden
International Business Aircraft;;IBY;CENTRAL STAGE;United States
International Charter Services;;ICS;INTERSERVI;Mexico
International Charter Xpress;;ICX;INTEX;United States
International Committee of the Red Cross;;RED;RED CROSS;Switzerland
International Company for Transport;;IIG; Trade and Public Works;ALDAWLYH AIR
International Europe;9I;INE;;Spain
International Flight Training Academy;;IFX;IFTA;United States
International Flying Service;F4;\N;;Italy
International Jet Aviation Services;;IJA;I-JET;United States
International Jet Charter;;HSP;HOSPITAL;United States
International Sabilisation Assistance Force;;ISF;;United Kingdom
International Security Assistance Force;;THN;ATHENA;Canada
International SOS WIndhoek;;RSQ;SKYMEDIC;Namibia
International Trans-Air;;ITH;INTRANS NIGERIA;Nigeria
Interport Corporation;;IPT;INTERPORT;United States
Intersky;3L;ISK;INTERSKY;Austria
Intersky;;IKY;GENERAL SKY;Bulgaria
Interstate Airline;I4;FWA;FREEWAYAIR;Netherlands
Inter-State Aviation;;ITS;INTER-STATE;United States
Intervuelos;;ITU;INTERLOS;Mexico
Inversija;;INV;INVER;Latvia
Iona National Airways;;IND;IONA;Ireland
Iowa Airways;;IOA;IOWA AIR;United States
IPEC Aviation;;IPA;IPEC;Australia
IPM Europe;;IPM;SHIPEX;United Kingdom
Iran Air;IR;IRA;IRANAIR;Iran
Iran Aseman Airlines;EP;IRC;;Iran
Iranair Tours;;IRB;;Iran
Iraqi Airways;IA;IAW;IRAQI;Iraq
Irbis Air;;BIS;IRBIS;Kazakhstan
Irish Air Corps;;IRL;IRISH;Ireland
Irish Air Transport;;RDK;IRISH TRANS;Ireland
Irish Aviation Authority;;XMR;AUTHORITY;Ireland
IRS Airlines;;LVB;SILVERBIRD;Nigeria
Irtysh Airlines;;IRT;IRTYSH AIRLINES;Uzbekistan
Irving Oil;;XIA;;Canada
Irving Oil Transport;;KCE;KACEY;Canada
ISD Avia;;ISD;ISDAVIA;Ukraine
Island Air;;ISI;ISLANDMEX;Mexico
Island Air (WP);WP;MKU;;United States
Island Air Charters;;ILF;ISLAND FLIGHT;United States
Island Air Express;;XYZ;RAINBIRD;United States
Island Airlines;IS;;;United States
Island Aviation;;SOY;SORIANO;Philippines
Island Aviation and Travel;;IOM;ISLE AVIA;United Kingdom
Island Aviation Services;;DQA;;Maldives
Island Express;2S;SDY;SANDY ISLE;United States
Island Express Air;1X;\N;Abby Air;Canada
Island Helicopters;;MTP;METROCOPTER;United States
Island Link;;ILC;;Japan
Island Spirit;IP;ISX;;Iceland
Islandair Jersey;;IAJ;JARLAND;United Kingdom
Islands Express;X9;\N;;United States
Islands Nationair;CN;;;Papua New Guinea
Islas Airways;IF;ISW;PINTADERA;Spain
Isle Grande Flying School;;IGS;ISLA GRANDE;United States
Islena De Inversiones;WC;ISV;;Honduras
Isles of Scilly Skybus;;IOS;SCILLONIA;United Kingdom
Israel Aircraft Industries;;IAI;ISRAEL AIRCRAFT;Israel
Israeli Air Force;;IAF;;Israel
Israir;6H;ISR;ISRAIR;Israel
Istanbul Airlines;;IST;ISTANBUL;Turkey
ITA Software;1U;;;United States
Itali Airlines;9X;ACL;ITALI;Italy
Italy First;;IFS;RIVIERA;Italy
Itek Air;GI;IKA;ITEK-AIR;Kyrgyzstan
Ivoire Aero Services;;IVS;IVOIRE AERO;Ivory Coast
Ivoire Airways;;IVW;IVOIRAIRWAYS;Ivory Coast
Ivoire Jet Express;;IJE;IVOIRE JET;Ivory Coast
IVV Femida;;FDF;;Russia
Iwamoto Crane Co Ltd;;OIC;;Japan
Ixair;;IXR;X-BIRD;France
Izair;H9;IZM;IZMIR;Turkey
IzAvia;I8;\N;;Russia
Izhavia;;IZA;IZHAVIA;Russia
J C Bamford (Excavators);;JCB;JAYSEEBEE;United Kingdom
J P Hunt Air Carriers;;RFX;REFLEX;United States
Jackson Air Services;;JCK;JACKSON;Canada
Jade Cargo International;;JAE;JADE CARGO;China
Jagson Airlines;;JGN;JAGSON;India
J-Air;;JLJ;J AIR;Japan
JAL Express;JC;JEX;JANEX;Japan
JALways;JO;JAZ;JALWAYS;Japan
Jamahiriya Airways;;JAW;JAW;Libya
Jambo Africa Airlines;;JMB;JAMBOAFRICA;Democratic Republic of Congo
Jana-Arka;;JAK;YANZAR;Kazakhstan
Janair;;JAX;JANAIR;United States
Japan Air Commuter;;JAC;COMMUTER;Japan
Japan Air System;JD;JAS;Air System;Japan
Japan Aircraft Service;;JSV;;Japan
Japan Airlines;JL;JAL;JAPANAIR;Japan
Japan Airlines Domestic;JL;JAL;J-BIRD;Japan
Japan Asia Airways;EG;JAA;ASIA;Japan
Japan Regio;ZX;ZXY;;Japan
Japan Transocean Air;NU;JTA;JAI OCEAN;Japan
Jat Airways;JU;JAT;JAT;Serbia
Jatayu Airlines;VJ;JTY;JATAYU;Indonesia
Jayrow;\\';\\'\\;;Australia
Jazeera Airways;J9;JZR;JAZEERA;Kuwait
Jc royal.britannica;;JRB;;United Kingdom
JDAviation;;JDA;JAY DEE;United Kingdom
JDP Lux;;JDP;RED PELICAN;Luxembourg
Jeju Air;7C;JJA;JEJU AIR;Republic of Korea
Jenney Beechcraft;;JNY;JENAIR;United States
Jeppesen Data Plan;;XLD;;United States
Jeppesen UK;;JPN;JETPLAN;United Kingdom
Jet Air;;JEA;JETA;Poland
Jet Air Group;;JSI;SISTEMA;Russia
Jet Airways;QJ;;;United States
Jet Airways;9W;JAI;JET AIRWAYS;India
Jet Aspen Air Lines;;JTX;JET ASPEN;United States
Jet Aviation;;PJS;JETAVIATION;Switzerland
Jet Aviation Business Jets;;BZF;BIZFLEET;United States
Jet Center Flight Training;;JCF;JET CENTER;Spain
Jet Charter;;JCT;JET CHARTER;United States
Jet Connection;;JCX;JET CONNECT;Germany
Jet Courier Service;;DWW;DON JUAN;United States
Jet East International;;JED;JET EAST;United States
Jet Executive International Charter;;JEI;JET EXECUTIVE;Germany
Jet Fighter Flights;;RZA;RAZOR;Australia
Jet Freighters;;CFT;CASPER FREIGHT;United States
Jet G&D Aviation;;JGD;JET GEE-AND-DEE;Israel
Jet Line International;;MJL;MOLDJET;Moldova
Jet Link;;JEK;JET OPS;Israel
Jet Link Aviation;;HTL;HEARTLAND;United States
Jet Norte;;JNR;JET NORTE;Mexico
Jet Rent;;JRN;JET RENT;Mexico
Jet Service;;JDI;JEDI;Poland
Jet Stream;;JSM;JET STREAM;Moldova
Jet Suite;;RSP;Red Stripe;United States
Jet Trans Aviation;;JTC;JETRANS;Ghana
Jet2.com;LS;EXS;CHANNEX;United Kingdom
Jet-2000;;JTT;MOSCOW JET;Russia
Jet4You;8J;JFU;ARGAN;Morocco
JetAfrica Swaziland;;OSW;BEVO;Swaziland
Jetairfly;JF;JAF;BEAUTY;Belgium
Jetall Holdings;;JTL;FIREFLY;Canada
Jetalliance;;JAG;JETALLIANCE;Austria
JetBlue Airways;B6;JBU;JETBLUE;United States
Jetclub;0J;JCS;JETCLUB;Switzerland
Jetclub;0J;;;Switzerland
JetConnect;;QNZ;QANTAS JETCONNECT;New Zealand
Jetcorp;;UEJ;JETCORP;United States
Jetcraft Aviation;;JCC;JETCRAFT;Australia
Jetex Aviation;;JXA;;Lebanon
Jetflite;;JEF;JETFLITE;Finland
Jetfly Airlines;;JFL;LINEFLYER;Austria
Jetgo Australia;JG;\N;;Australia
Jetgo International;;JIC;JIC-JET;Thailand
Jetlink Express;;JLX;KEN JET;Kenya
Jetlink Holland;;JLH;;Netherlands
JetMagic;;JMG;JET MAGIC;Ireland
Jetnova de Aviacion Ejecutiva;;JNV;JETNOVA;Spain
Jet-Ops;;OPS;OPS-JET;United Arab Emirates
Jetpro;;JPO;JETPRO;Mexico
Jetran Air;;MDJ;JETRAN AIR;Romania
Jetrider International;;JRI;JETRIDER;United Kingdom
Jets Ejecutivos;;JEJ;MEXJETS;Mexico
Jets Personales;;JEP;JET PERSONALES;Spain
Jets Y Servicios Ejecutivos;;JSE;SERVIJETS;Mexico
JetsGo;SG;JGO;JETSGO;Canada
Jetstar Airways;JQ;JST;JETSTAR;Australia
Jetstar Asia Airways;3K;JSA;JETSTAR ASIA;Singapore
Jetstar Japan ;;JJP;ORANGE LINER;Japan
Jetstar Pacific;BL;PIC;PACIFIC AIRLINES;Vietnam
Jetstream Air;;JSH;STREAM-AIR;Hungary
Jetstream Executive Travel;;JXT;VANNIN;United Kingdom
Jett Paqueteria;;JPQ;JETT PAQUETERIA;Mexico
Jett8 Airlines Cargo;JX;JEC;;Singapore
Jettime;;JTG;JETTIME;Denmark
Jettor Airlines;NR;JTO;JETHAPPY;Hong Kong
Jettrain Corporation;;JTN;JETTRAIN;United States
Jetways of Iowa;;JWY;JETWAYS;United States
JetWind;;JWW;Jetwind;United States
Jetx Airlines;GX;JXX;JETBIRD;Iceland
JHM Cargo Expreso;;JHM;;Costa Rica
Jibair;;JIB;JIBAIRLINE;Djibouti
Jigsaw Project;;JSW;JIGSAW;United Kingdom
Jim Hankins Air Service;;HKN;HANKINS;United States
Jim Ratliff Air Service;;RAS;SHANHIL;United States
Jin Air;LJ;JNA;Jin Air;South Korea
JM Family Aviation;;TQM;TACOMA;United States
JMC Airlines;;JMC;JAYEMMSEE;United Kingdom
Joanas Avialinijos;;JDG;LADYBLUE;Lithuania
Job Air;;JBR;JOBAIR;Czech Republic
JobAir;3B;\N;;Czech Republic
Johnson Air;;JHN;AIR JOHNSON;United States
Johnsons Air;;JON;JOHNSONSAIR;Ghana
Johnston Airways;;JMJ;JOHNSTON;United States
Joint Military Commission;;JMM;JOICOMAR;Sudan
Jomartaxi Aereo;;JMT;JOMARTAXI;Mexico
Jonsson;;ODI; H Air Taxi;ODINN
Jordan Aviation;R5;JAV;JORDAN AVIATION;Jordan
Jordan International Air Cargo;;JCI;;Jordan
Jorvik;;JVK;ISLANDIC;Iceland
Jota Aviation;;ENZ;ENZO;United Kingdom
Joy Air;JR;JOY;JOY AIR;China
JS Air;;JSJ;JS CHARTER;Pakistan
JS Aviation;;JES;JAY-ESS AVIATION;Mexico
JSC Transport Automated Information Systems;1M;;;Russia
Ju-Air;;JUR;JUNKERS;Switzerland
Juanda Flying School;;JFS;JAEMCO;Indonesia
Juba Cargo Services & Aviation Company;;JUC;JUBA CARGO;Sudan
Jubba Airways;;JUB;JUBBA;Somali Republic
Jubilee Airways;;DKE;DUKE;United Kingdom
Juneyao Airlines;HO;DKH;JUNEYAO AIRLINES;China
Jupiter Airlines;;JPU;JUPITERAIR;United Arab Emirates
Justair Scandinavia;;MEY;MELODY;Sweden
Justice Prisoner and Alien Transportation System;;DOJ;JUSTICE;United States
Jusur airways;JX;JSR;;Egypt
K D Air Corporation;;KDC;KAY DEE;Canada
K S Avia;;KSA;SKY CAMEL;Latvia
Kabo Air;N2;QNK;KABO;Nigeria
Kahama Mining Corporation;;KMC;KAHAMA;Tanzania
Kaiser Air;;KAI;KAISER;United States
Kal Star Aviation;;KLS;;Indonesia
Kalitta Air;K4;CKS;CONNIE;United States
Kalitta Charters;;KFS;KALITTA;United States
Kallat El Saker Air Company;;KES;KALLAT EL SKER;Libya
Kam Air;RQ;KMF;KAMGAR;Afghanistan
Kampuchea Airlines;E2;KMP;KAMPUCHEA;Cambodia
Kan Air;;KND;Kan Air;Thailand
Kanaf-Arkia Airlines;;KIZ;;Israel
Kanfey Ha'emek Aviation;;KHE;KANFEY HAEMEK;Israel
Kansas State University;;KSU;K-STATE;United States
Kar-Air;;KAR;;Finland
Karat;V2;AKT;AVIAKARAT;Russia
Karibu Airways Company;;KRB;KARIBU AIR;Tanzania
Karlog Air Charter;;KLG;KARLOG;Denmark
Karthago Airlines;;KAJ;KARTHAGO;Tunisia
Kartika Airlines;;KAE;KARTIKA;Indonesia
Kata Transportation;;KTV;KATAVIA;Sudan
Katekavia;;KTK;KATEKAVIA;Russia
Kato Airline;;KAT;KATO-AIR;Norway
Kavminvodyavia;KV;MVD;AIR MINVODY;Russia
Kavouras Inc;;XKA;;United States
Kaz Agros Avia;;KRN;ANTOL;Kazakhstan
Kaz Air West;;KAW;KAZWEST;Kazakhstan
Kazan Aviation Production Association;;KAO;KAZAVAIA;Russia
Kazan Helicopters;;KPH;KAMA;Russia
Kazavia;;KKA;KAKAIR;Kazakhstan
Kazaviaspas;;KZS;SPAKAZ;Kazakhstan
KD Avia;KD;KNI;KALININGRAD AIR;Russia
Keenair Charter -;;JFK;KEENAIR;United Kingdom
Kelix Air;;KLX;KELIX;Nigeria
Kelner Airways;;FKL;KELNER;Canada
Kelowna Flightcraft Air Charter;;KFA;FLIGHTCRAFT;Canada
Kendell Airlines;;KDA;KENDELL;Australia
Kenmore Air;M5;KEN;KENMORE;United States
Kenn Borek Air;;KBA;BOREK AIR;Canada
Kent Aviation;;KAH;DEKAIR;Canada
Kenya Airways;KQ;KQA;KENYA;Kenya
Kevis;;KVS;KEVIS;Kazakhstan
Key Air;;KWY;KeyAir;United States
Key Airlines;;KEY;KEY AIR;United States
Key Lime Air;;LYM;KEY LIME;United States
Keystone Aerial Surveys;;FTP;FOOTPRINT;United States
Keystone Air Services;BZ;KEE;KEYSTONE;Canada
Khalifa Airways;;KZW;KHALIFA AIR;Algeria
Kharkiv Airlines;KH;KHK;;Ukraine
Kharkov Aircraft Manufacturing Company;;WKH;WEST-KHARKOV;Ukraine
Khazar;;KHR;KHAZAR;Turkmenistan
Khoezestan Photros Air Lines;;KHP;PHOTROS AIR;Iran
Khoriv-Avia;;KRV;KHORIV-AVIA;Ukraine
Khors Aircompany;;KHO;AIRCOMPANY KHORS;Ukraine
Khyber Afghan Airlines;;KHY;KHYBER;Afghanistan
Kibris T;KY;KYV;AIRKIBRIS;Turkey
Kiev Aviation Plant;;UAK;AVIATION PLANT;Ukraine
King Aviation;;KNG;KING;United Kingdom
Kingfisher Air Services;;BEZ;SEA BREEZE;United States
Kingfisher Airlines;IT;KFR;KINGFISHER;India
Kingston Air Services;;KAS;KINGSTON AIR;Canada
Kinloss Flying Training Unit;;KIN;KINLOSS;United Kingdom
Kinnarps;;KIP;KINNARPS;Sweden
Kinshasa Airways;;KNS;KINSHASA AIRWAYS;Democratic Republic of the Congo
Kirov Air Enterprise;;KTA;VYATKA-AVIA;Russia
Kish Air;Y9;IRK;KISHAIR;Iran
Kitty Hawk Aircargo;;KHA;AIR KITTYHAWK;United States
Kitty Hawk Airways;;KHC;CARGO HAWK;United States
Kiwi International Air Lines;KP;KIA;KIWI AIR;United States
KLM Cityhopper;WA;KLC;CITY;Netherlands
KLM Helicopter;;KLH;KLM HELI;Netherlands
KLM Royal Dutch Airlines;KL;KLM;KLM;Netherlands
K-Mile Air;;KMI;KAY-MILE AIR;Thailand
KMV;МИ;\N;Air Minvody;Russia
Knight Air;;KNA;KNIGHTAIR;Canada
Knighthawk Air Express;;KNX;KNIGHT FLIGHT;Canada
Knighthawk Express;;KHX;RIZZ;United States
Knights Airlines;;KGT;KNIGHT-LINER;Nigeria
Koanda Avacion;;KOA;KOANDA;Spain
Koda International;;OYE;KODA AIR;Nigeria
Kogalymavia Air Company;7K;KGL;KOGALYM;Russia
Kom Activity;;KOM;COMJET;Netherlands
Komiaviatrans State Air Enterprise;;KMA;KOMI AVIA;Russia
Komiinteravia;8J;KMV;KOMIINTER;Russia
Komsomolsk-on-Amur Air Enterprise;;KNM;KNAAPO;Russia
Koob-Corp - 96 KFT;;KOB;AUTOFLEX;Hungary
KoralBlue Airlines;K7;KBR;KORAL BLUE;Egypt
Korea Express Air;;KEA;;South Korea
Korean Air;KE;KAL;KOREANAIR;Republic of Korea
Korongo Airlines;ZC;KGO;KORONGO;Congo (Kinshasa)
Kosmas Air;;KMG;KOSMAS CARGO;Serbia
Kosmos;;KSM;KOSMOS;Russia
Kosova Airlines;;KOS;KOSOVA;Serbia
Kostromskie avialinii;K1;KOQ;;Russia
Kovar Air;;WOK;WOKAIR;Czech Republic
Krasnojarsky Airlines;7B;KJC;KRASNOJARSKY AIR;Russia
Kremenchuk Flight College;;KFC;KREMENCHUK;Ukraine
Krimaviamontag;;KRG;AVIAMONTAG;Ukraine
Kroonk Air Agency;;KRO;KROONK;Ukraine
Krylo Airlines;K9;KRI;Krylo;Russia
Krym;;KYM;CRIMEA AIR;Ukraine
Krystel Air Charter;;OPC;OPTIC;United Kingdom
KSY;KY;KSY;KSY;Greece
Kuban Airlines;GW;KIL;AIR KUBAN;Russia
Kunpeng Airlines;VD;KPA;KUNPENG;China
Kurzemes Avio;;KZA;;Russia
Kush Air;;KUH;;South Sudan
Kustbevakningen;;KBV;SWECOAST;Sweden
Kuwait Airways;KU;KAC;KUWAITI;Kuwait
Kuzu Airlines Cargo;GO;KZU;KUZU CARGO;Turkey
Kvadro Aero;;QVR;PEGASO;Kyrgyzstan
Kwena Air;;KWN;KWENA;South Africa
Kyrgyz Airlines;N5;KGZ;BERMET;Kyrgyzstan
Kyrgyz Trans Avia;;KTC;DINARA;Kyrgyzstan
Kyrgyzstan;QH;LYN;ALTYN AVIA;Kyrgyzstan
Kyrgyzstan Airlines;R8;KGA;KYRGYZ;Kyrgyzstan
Kyrgyzstan Department of Aviation;;DAM;FLIGHT RESCUE;Kyrgyzstan
Kyrgz General Aviation;;KGB;KEMIN;Kyrgyzstan
L;;LAU;SURAMERICANO;Colombia
L;MJ;LPR;LAPA;Argentina
L A Helicopter;;LAH;STAR SHIP;United States
L J Aviation;;LJY;ELJAY;United States
L R Airlines;;LRB;LADY RACINE;Czech Republic
L&L Flygbildteknik;;PHO;PHOTOFLIGHT;Sweden
L.A.B. Flying Service;JF;LAB;LAB;United States
L-3 Communications Flight Internation Aviation;;FNT;FLIGHT INTERNATIONAL;United States
La Ronge Aviation Services;;ASK;AIR SASK;Canada
La Valenciana Taxi Aereo;;LVT;TAXIVALENCIANA;Mexico
LÍO Flugmennt;;LIO;;Iceland
Labcorp;;SKQ;SKYLAB;United States
Labrador Airways;;LAL;LAB AIR;Canada
LACSA;LR;LRC;LACSA;Costa Rica
LADE - Lineas Aereas Del Estado;;LDE;LADE;Argentina
Lagun Air;N6;JEV;;Spain
LAI - Linea Aerea IAACA;KG;BNX;AIR BARINAS;Venezuela
Lake Havasu Air Service;;HCA;HAVASU;United States
Lakeland Aviation;;LKL;LAKELAND;United States
Laker Airways;;LKR;LAKER;United States
Laker Airways (Bahamas);;LBH;LAKER BAHAMAS;United States
Lamra;;LMR;LAMAIR;Sudan
LAN Airlines;LA;LAN;LAN;Chile
LAN Argentina;4M;DSM;LAN AR;Argentina
LAN Cargo;;LCO;LAN CARGO;Chile
LAN Dominica;;LNC;LANCANA;Dominican Republic
LAN Express;LU;LXP;LANEX;Chile
LAN Peru;LP;LPE;LANPERU;Peru
Lanaes Aereas Trans Costa Rica;;TCR;TICOS;Costa Rica
Landsflug;;ISL;ISLANDIA;Iceland
Langtry Flying Group;;PAP;PROFLIGHT;United Kingdom
Lankair;IK;LKN;Lankair;Sri Lanka
LANSA;;LSA;INTERNACIONAL;Dominican Republic
Lanza Air;;LZA;AEROLANZA;Spain
Lanzarote Aerocargo;;LZT;BARAKA;Spain
Lao Air Company;;LLL;LAVIE;Lao Peoples Democratic Republic
Lao Airlines;QV;LAO;LAO;Lao Peoples Democratic Republic
Lao Capricorn Air;;LKA;NAKLOA;Lao Peoples Democratic Republic
Laoag International Airlines;L7;LPN;LAOAG AIR;Philippines
LAP Colombia - Lineas Aereas Petroleras;;APT; S.A.;LAP
Laredo Air;;LRD;LAREDO AIR;United States
LASTP;;OTN;LASTP;S
LatCharter;;LTC;LATCHARTER;Latvia
Latvian Air Force;;LAF;LATVIAN AIRFORCE;Latvia
Lauda Air;NG;LDA;LAUDA AIR;Austria
Lauda Air Italy;;LDI;LAUDA ITALY;Italy
Laughlin Express;;LEP;LAUGHLIN EXPRESS;United States
Laus;;LSU;LAUS AIR;Croatia
Lawrence Aviation;;LAR;LAWRENCE;United States
Layang-Layang Aerospace;;LAY;LAYANG;Malaysia
LC Busre;;LCB;BUSRE;Peru
LCM AIRLINES;LQ;LMM;;Russia
Lease-a-Plane International;;LPL;LEASE-A-PLANE;United States
Lebanese Air Transport;LQ;LAQ;LAT;Lebanon
Lebanese Air Transport (Charter);;LAT;LEBANESE AIR;Lebanon
Lebanon Airport Development Corporation;;LAD;LADCO-AIR;United States
Leconte Airlines;;LCA;LECONTE;United States
Leeming Flying Training Unit;;LEE;JAVELIN;United Kingdom
Leeward Islands Air Transport;LI;LIA;LIAT;Antigua and Barbuda
Legend Airlines;;LGD;LEGENDARY;United States
Leisure Air;;LWD;LEISURE WORLD;United States
Lentini Aviation;;LEN;LENTINI;United States
Leo-Air;;LOR;LEO CHARTER;South Africa
Leonsa De Aviacion;;LEL;LEONAVIA;Spain
L'Express;;LEX;LEX;United States
Liberty Airways;LE;LTY;;United States
Libyan Airlines;;LYW;LIBYAN AIRWAYS;Libya
Libyan Arab Air Cargo;;LCR;LIBAC;Libya
Libyan Arab Airlines;LN;LAA;LIBAIR;Libya
Lid Air;;LIQ;;Sweden
Lignes Aeriennes Congolaises;;LCG;CONGOLAISE;Democratic Republic of the Congo
Lignes Aeriennes Du Tchad;;LKD;LATCHAD;Chad
Lignes Mauritaniennes Air Express;;LME;LIMAIR EXPRESS;Mauritania
Lignes Nationales Aeriennes - Linacongo;;GCB;LINACONGO;Republic of the Congo
Lina Congo;GC;\N;;Congo (Brazzaville)
Lincoln Air National Guard;;GDQ;;United States
Lincoln Airlines;;LRT;;Australia
Lindsay Aviation;;LSY;LINDSAY AIR;United States
Line Blue;L8;LBL;Bluebird;Germany
Linea Aerea Costa Norte;;NOT;COSTA NORTE;Chile
Linea Aerea de Fumig Aguas Negras;;NEG;AGUAS NEGRAS;Chile
